host_is_superhost,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,instant_bookable,cancellation_policy
t,1,t,Hennepin,House,Private room,4,1,2,2,Real Bed,60,300,2,20,2,1125,147,98,f,moderate
f,2,t,Hennepin,Loft,Private room,2,1,0,1,Real Bed,59,0,1,15,2,20,99,97,t,moderate
t,2,f,Hennepin,House,Entire home/apt,6,2,3,3,Real Bed,125,1000,2,30,2,7,56,99,f,strict_14_with_grace_period
t,3,t,Hennepin,Guest suite,Entire home/apt,2,1,1,1,Real Bed,79,0,2,10,1,365,156,97,t,moderate
t,4,t,Hennepin,Apartment,Entire home/apt,4,1,2,2,Real Bed,87,100,2,15,1,30,254,94,t,moderate
f,3,f,Hennepin,House,Private room,2,1.5,1,1,Real Bed,400,,1,0,2,1125,0,,t,strict_14_with_grace_period
f,1,f,Dakota,House,Private room,1,1.5,1,1,Real Bed,100,,1,0,1,1125,0,,f,flexible
f,1,t,Hennepin,House,Private room,1,2,1,1,Real Bed,90,,1,0,1,1125,0,,f,flexible
t,5,t,Hennepin,Apartment,Entire home/apt,6,1,3,3,Real Bed,189,500,2,35,1,15,31,99,f,moderate
t,3,t,Hennepin,House,Private room,3,1.5,1,1,Real Bed,69,100,2,40,2,1125,91,97,f,moderate
t,3,t,Ramsey,House,Private room,2,1,1,1,Real Bed,85,100,1,15,2,1125,14,94,f,strict_14_with_grace_period
t,3,t,Ramsey,House,Private room,2,1,1,1,Real Bed,75,100,1,15,2,1125,32,99,f,strict_14_with_grace_period
t,7,f,Hennepin,House,Private room,4,1,0,1,Real Bed,100,200,2,40,2,1125,193,98,f,flexible
t,3,t,Ramsey,House,Private room,2,1,1,1,Real Bed,50,100,1,5,2,1125,54,95,f,moderate
t,1,t,Washington,House,Private room,2,1,1,1,Real Bed,65,,2,30,1,1125,81,96,f,moderate
t,1,t,Hennepin,House,Private room,2,3,1,0,Real Bed,89,,1,0,2,1125,59,100,f,moderate
f,1,t,Hennepin,Townhouse,Private room,1,1,1,1,Real Bed,75,200,1,0,1,3,0,,f,flexible
t,1,t,Mille Lacs,House,Entire home/apt,8,2.5,4,5,Real Bed,265,0,1,0,2,60,99,98,f,moderate
f,1,t,Hennepin,Townhouse,Private room,6,1,1,4,Futon,75,,2,10,1,14,19,95,f,flexible
t,10,t,Hennepin,Apartment,Entire home/apt,5,1,2,2,Real Bed,155,500,4,40,7,365,13,98,t,strict_14_with_grace_period
f,2,t,Hennepin,Guest suite,Private room,5,1,3,2,Real Bed,75,100,2,15,2,1125,1,80,f,moderate
f,1,t,Hennepin,House,Private room,2,1,1,1,Futon,42,,1,10,1,1125,93,89,t,moderate
t,7,f,Hennepin,Apartment,Entire home/apt,5,1,2,3,Real Bed,100,200,2,40,2,1125,154,97,f,flexible
t,7,f,Hennepin,Apartment,Entire home/apt,4,1,1,1,Real Bed,120,200,2,40,3,1125,109,99,f,flexible
t,1,f,Ramsey,House,Private room,2,2.5,1,1,Real Bed,75,,2,0,1,1125,124,97,f,moderate
f,41,f,Hennepin,Townhouse,Entire home/apt,10,1,3,8,Real Bed,246,300,8,6,2,365,16,88,f,moderate
t,7,f,Hennepin,Apartment,Entire home/apt,4,1,1,1,Real Bed,120,200,2,40,3,1125,35,99,f,flexible
t,1,t,Hennepin,Guest suite,Entire home/apt,2,1,1,1,Real Bed,90,0,1,0,2,14,297,99,f,moderate
t,3,t,Ramsey,House,Private room,2,1,1,2,Real Bed,35,100,1,10,2,100,78,94,f,moderate
f,1,t,Hennepin,House,Entire home/apt,8,1.5,3,3,Real Bed,155,5000,3,15,3,10,21,98,f,moderate
f,2,t,Hennepin,House,Private room,2,1,1,1,Real Bed,64,250,2,75,3,1125,6,100,f,moderate
f,3,t,Hennepin,Apartment,Entire home/apt,3,1,2,2,Real Bed,55,1500,1,0,60,1125,1,100,t,moderate
f,3,t,Hennepin,Apartment,Entire home/apt,4,1,2,2,Real Bed,400,3000,1,0,60,1125,1,100,t,moderate
f,2,t,Hennepin,Other,Entire home/apt,4,1,1,2,Real Bed,75,,1,0,2,15,1,100,f,strict_14_with_grace_period
f,2,t,Ramsey,House,Entire home/apt,6,1.5,3,4,Real Bed,155,300,4,0,3,28,53,100,f,strict_14_with_grace_period
t,3,f,Hennepin,House,Private room,1,1,1,0,Real Bed,60,100,1,0,2,10,171,98,f,moderate
f,41,f,Anoka,Apartment,Entire home/apt,16,2,6,12,Real Bed,405,600,12,5,2,365,1,80,f,strict_14_with_grace_period
f,1,t,Hennepin,Bungalow,Private room,2,1,1,1,Real Bed,85,,1,10,2,1125,7,100,f,flexible
t,1,t,Hennepin,House,Entire home/apt,8,2,3,3,Real Bed,65,0,4,30,2,1125,8,100,t,flexible
t,1,f,Hennepin,Bed and breakfast,Private room,2,1,1,1,Real Bed,119,0,2,20,1,30,19,95,f,moderate
f,3,t,Hennepin,House,Private room,2,1,1,1,Futon,35,250,1,10,1,92,78,93,t,moderate
f,3,f,Hennepin,House,Entire home/apt,8,1,2,2,Real Bed,279,500,4,10,3,1125,14,96,f,strict_14_with_grace_period
f,4,t,Hennepin,House,Private room,2,1,1,1,Real Bed,45,0,1,10,1,1125,219,88,f,moderate
f,4,t,Hennepin,House,Private room,2,2,1,1,Real Bed,55,0,1,10,1,1125,223,91,f,moderate
t,3,f,Hennepin,House,Private room,1,1,1,1,Futon,60,100,1,0,2,15,187,97,f,moderate
t,15,t,Hennepin,Apartment,Entire home/apt,4,2,2,2,Real Bed,100,,1,0,3,1125,3,100,f,flexible
f,4,f,Hennepin,House,Private room,1,2,1,2,Real Bed,39,,1,15,2,1125,68,87,t,moderate
f,2,f,Isanti,House,Entire home/apt,6,2,2,3,Real Bed,220,600,6,75,7,14,0,,f,strict_14_with_grace_period
t,1,t,Pierce,House,Private room,2,1,1,1,Real Bed,55,100,2,10,1,15,60,98,f,flexible
f,1,t,Hennepin,House,Entire home/apt,10,2.5,5,6,Real Bed,375,1000,6,25,2,1125,15,99,f,strict_14_with_grace_period
f,4,f,Hennepin,House,Private room,1,1,1,1,Real Bed,35,,1,15,2,1125,73,89,t,flexible
f,1,t,Ramsey,House,Entire home/apt,6,1,3,3,Real Bed,100,1500,1,0,14,1125,16,94,f,moderate
f,4,f,Hennepin,House,Private room,2,1,1,1,Real Bed,39,0,1,0,2,1125,36,84,f,moderate
t,4,t,Ramsey,House,Entire home/apt,2,1,2,2,Real Bed,125,100,2,30,2,24,275,98,f,moderate
f,4,f,Ramsey,Boutique hotel,Private room,2,1,1,1,Real Bed,99,1500,1,0,2,4,18,100,f,strict_14_with_grace_period
f,4,f,Ramsey,Boutique hotel,Private room,2,1,1,1,Real Bed,135,1500,1,0,2,12,10,100,f,strict_14_with_grace_period
f,3,t,Hennepin,House,Private room,2,1,1,1,Real Bed,40,0,1,0,2,7,2,90,f,flexible
f,1,t,Hennepin,House,Entire home/apt,10,2,4,4,Real Bed,550,500,10,0,3,1125,23,96,f,moderate
t,2,t,Ramsey,House,Private room,1,1.5,1,1,Real Bed,80,,1,0,1,1125,24,89,f,flexible
f,1,t,Hennepin,Apartment,Entire home/apt,4,1,1,2,Real Bed,110,500,2,15,4,28,38,97,f,strict_14_with_grace_period
t,130,f,Hennepin,House,Entire home/apt,6,1,2,2,Real Bed,500,500,1,0,2,1125,67,87,f,moderate
t,1,f,Hennepin,Condominium,Private room,2,1,1,1,Real Bed,95,100,1,0,2,1125,138,100,t,moderate
f,1,t,Hennepin,House,Private room,2,1,1,2,Real Bed,80,,1,0,3,15,0,,f,strict_14_with_grace_period
f,1,t,Ramsey,House,Private room,2,1,1,1,Real Bed,36,0,1,0,1,1125,49,98,f,moderate
f,17,t,Hennepin,House,Entire home/apt,4,1,1,2,Real Bed,100,0,1,0,2,1125,3,100,f,strict_14_with_grace_period
