host_is_superhost,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,security_deposit,minimum_nights,maximum_nights,number_of_reviews,instant_bookable,cancellation_policy
f,3,t,Hennepin,Apartment,Entire home/apt,6,1,3,4,170,200,1,1125,102,f,strict_14_with_grace_period
t,2,f,Hennepin,Other,Entire home/apt,2,1.5,1,0,68,,1,3,325,f,moderate
t,1,t,Hennepin,House,Entire home/apt,6,1,2,3,99,175,2,1125,180,f,moderate
f,1,t,Ramsey,Apartment,Entire home/apt,4,1,1,2,65,500,180,1125,26,t,moderate
f,1,t,Ramsey,Loft,Entire home/apt,4,1,2,2,725,,1,1125,0,f,flexible
t,2,t,Hennepin,House,Private room,1,1,1,1,28,,1,20,155,f,moderate
t,1,f,Washington,House,Private room,2,1,1,1,500,,1,30,70,t,flexible
f,2,t,Hennepin,Loft,Entire home/apt,7,1,3,5,160,500,330,1125,32,f,strict_14_with_grace_period
f,1,f,Hennepin,Apartment,Entire home/apt,4,1,2,2,122,0,1,1125,89,f,moderate
f,1,t,Hennepin,House,Entire home/apt,6,2.5,3,4,200,300,2,1125,6,f,moderate
t,20,f,Hennepin,House,Entire home/apt,4,1,2,2,250,0,4,1125,35,f,strict_14_with_grace_period
f,1,t,Hennepin,Apartment,Entire home/apt,2,1,1,1,300,500,2,1125,0,f,flexible
t,5,t,Hennepin,Apartment,Entire home/apt,4,1,2,2,114,150,1,15,88,f,moderate
f,3,t,Hennepin,House,Private room,2,1,1,1,38,250,1,92,153,t,moderate
t,10,t,Anoka,House,Private room,1,1,1,1,69,200,3,1125,13,f,strict_14_with_grace_period
f,1,f,Hennepin,House,Private room,2,1,2,1,500,,4,7,0,t,moderate
f,2,t,Dakota,Guest suite,Private room,2,1,1,1,50,,1,1125,27,f,flexible
t,6,f,Ramsey,Bed and breakfast,Private room,2,1.5,1,1,95,0,1,31,4,f,flexible
t,6,f,Ramsey,Bed and breakfast,Private room,3,1,1,2,175,0,1,1125,1,f,flexible
t,1,t,Hennepin,House,Entire home/apt,12,2,5,7,200,500,2,1125,56,f,moderate
f,2,t,Hennepin,House,Private room,2,1,1,1,108,200,30,1125,51,f,strict_14_with_grace_period
t,1,t,Hennepin,House,Private room,2,1,1,1,44,100,2,1125,44,t,moderate
t,1,t,Hennepin,House,Private room,3,1,2,2,67,,2,1125,59,f,moderate
f,3,t,Hennepin,House,Private room,1,1,1,1,30,250,3,15,123,f,moderate
f,1,t,Hennepin,House,Entire home/apt,5,3,3,3,115,500,1,1125,0,f,flexible
f,17,t,Hennepin,Apartment,Entire home/apt,4,1,1,3,100,0,2,365,27,f,strict_14_with_grace_period
t,4,t,Hennepin,Apartment,Entire home/apt,2,1,1,1,65,,1,1125,3,t,strict_14_with_grace_period
t,3,t,Dakota,Guest suite,Entire home/apt,6,1,3,3,75,300,2,28,223,t,moderate
t,5,t,Ramsey,House,Entire home/apt,12,2.5,5,7,395,500,3,60,0,f,strict_14_with_grace_period
f,1,f,Hennepin,Apartment,Entire home/apt,7,1,3,4,1799,200,4,9,0,t,strict_14_with_grace_period
